id,唯一id,,
level,关卡id,,
hard,难度（暂时没用）,,
socketCount,插座数量,,
plugArray,插头数组（数字表示插头格子数，即plug表格中的cellCount字段）（注意：数组数量需和插座数量一致）,,
solutionCount,解法数量（数字表示解法数量区间（包含下，包含上））,,
socketArea,"插座放置区域（|左侧为横向（X）放置区域，|右侧为纵向（Y）放置区域，数字为下标，（包含上，包含下））例子：2,9|1,5 表示插座放置区域为X轴第2格到第9格（包含第2，第9），Y轴第1到第5格（包含1，5）之间，注意：下标从1开始，区间不可超出面板宽度和高度",,
placeWidth,面板指定宽度,面板宽高按指定比例增长，目前常用宽高为：（8，5）（10，6）（12，7）（14，8）,1，面板宽*面板高=面板最大格子数；2，socketArea限制插座摆放位置，即socketArea决定面板实际使用格子数；3，plugArray插头数组列表中：插头的数量*插头类型=插头所占格子数；--4，全部插头所占格子数越接近面板实际使用格子数，则关卡的解法越少；5，插头类型越复杂，即单个插头所占格子数越多，则关卡解法越少
placeHeight,面板指定高度（上半区高度）,,
passTime,关卡通过时间限制,,
addTime,增加时间道具每次可增加的时间,,
